,V1_in,V2_in,V3_in,t,V1,V2,V3,I1,I2,I3,ax,ay,az,gx,gy,gz
0,100,100,100,8000.0,38.60526315789474,38.8421052631579,43.3125,0.48275056136363614,0.5854702273148147,0.4420744136363637,0.10790209790209787,-0.26412587412587407,10.626783216783217,0.008181818181818182,-0.012641509433962264,0.06146853146853148
1,100,200,100,8000.0,63.23684210526316,118.8,58.54455445544554,0.2651539520737337,0.9368297272727287,0.24298476320754764,0.05846153846153846,-0.28622377622377615,10.641958041958043,0.0018181818181818182,-0.011923076923076925,0.1278321678321678
2,100,300,100,8000.0,63.25,223.57894736842104,65.23008849557522,0.20299126617647104,1.0579556579908673,0.18888024851485175,0.06028571428571428,-0.2848571428571428,10.633642857142858,0.001142857142857143,-0.013500000000000002,0.17099999999999999
3,200,100,100,8000.0,135.71052631578948,45.95192307692308,53.36470588235294,0.7464127986238539,0.4040023326829267,0.29882097345971625,0.08160839160839162,-0.24748251748251748,10.626573426573428,0.0034265734265734264,-0.01125874125874126,0.10293706293706292
4,200,200,100,8000.0,144.71052631578948,137.3684210526316,66.64864864864865,0.5933899504587156,0.7452290465753431,0.15747328000000002,0.09685314685314686,-0.2668531468531468,10.628531468531468,0.0005594405594405592,-0.011538461538461539,0.18069930069930068
5,200,300,100,8000.0,148.75471698113208,231.39473684210526,69.39252336448598,0.4796806896226416,0.958741204545455,0.11576533613861398,0.07776223776223777,-0.26118881118881115,10.631398601398601,-0.0005594405594405593,-0.013776223776223777,0.2347552447552447
6,300,100,100,8000.0,242.52631578947367,50.88461538461539,58.86486486486486,0.7910257454545462,0.37496927809523833,0.2914915881818187,0.10076923076923076,-0.2406993006993007,10.629090909090909,0.0032867132867132874,-0.01048951048951049,0.1139160839160839
7,300,200,100,8000.0,243.23684210526315,145.42105263157896,66.78947368421052,0.7499700474178405,0.6532358761904765,0.15280476142131985,0.03657342657342658,-0.2195104895104895,10.635524475524477,0.000979020979020979,-0.014055944055944057,0.2141258741258741
8,300,300,100,8000.0,249.6315789473684,238.73684210526315,71.52631578947368,0.6713289054545459,0.7884616004545462,0.10900855508021397,0.06748251748251749,-0.24601398601398602,10.626643356643358,-0.000979020979020979,-0.013846153846153847,0.2783216783216784
9,100,100,200,8000.0,55.18681318681319,42.525,124.57894736842105,0.3223060886010366,0.4157967854271351,0.7833272156398113,0.13707142857142857,-0.2517142857142857,10.616857142857143,0.0035,-0.0125,0.11107142857142856
10,100,200,200,8000.0,64.42105263157895,127.6875,148.26315789473685,0.20361287454545515,0.7395106863636364,0.5411423186363636,0.10342657342657345,-0.2667132867132867,10.621818181818181,0.0015384615384615391,-0.012447552447552447,0.18265734265734265
11,100,300,200,8000.0,67.26315789473684,220.02631578947367,152.76315789473685,0.14910243100000017,0.9548949504545462,0.4130661972602741,0.05713286713286713,-0.2711888111888112,10.601398601398602,-0.00041958041958041974,-0.013216783216783217,0.2393006993006993
12,200,100,200,8000.0,147.07894736842104,54.25233644859813,145.18421052631578,0.5722886211267603,0.32190884801980224,0.590326533181818,0.13846153846153847,-0.26104895104895104,10.623916083916082,0.0025174825174825175,-0.013776223776223777,0.16517482517482515
13,200,200,200,8000.0,156.55263157894737,147.55263157894737,148.26315789473685,0.42529121499999994,0.5705728514018694,0.4028620237209302,0.0965034965034965,-0.2597902097902097,10.622027972027972,0.0013986013986013986,-0.013496503496503498,0.2569230769230769
14,200,300,200,8000.0,152.52631578947367,241.57894736842104,155.8421052631579,0.3633489251184835,0.7241260290909093,0.2848575054726374,0.09153846153846154,-0.24076923076923076,10.614685314685316,-0.002237762237762238,-0.014475524475524477,0.3220979020979021
15,300,100,200,8000.0,245.60526315789474,59.34065934065934,153.71052631578948,0.7672496090909097,0.281584830454546,0.4554276121495324,0.09475524475524476,-0.25748251748251744,10.610489510489511,0.0013286713286713285,-0.014545454545454545,0.21986013986013986
