,V1_in,V2_in,V3_in,t,V1,V2,V3,I1,I2,I3,ax,ay,az,gx,gy,gz,color
168,-300,100,-100,8000,261.4591837,-61.67368421,-52.69879518,0.490507881,0.285966628,0.28279065,0.033309859,-0.198169014,10.55542254,0.002676056,-0.011971831,0.089577465,gray
169,-300,200,-100,7622.44,255.9489796,-160.8979592,-61.16326531,0.505193928,0.366082505,0.277800429,0.032857143,-0.172428571,10.56914286,0.005714286,-0.009857143,0.018071429,gray
170,-300,300,-100,6980.21,265.0408163,-266.9693878,-64.6875,0.45530133,0.403141199,0.199633514,-0.000393701,-0.185984252,10.56897638,0.003937008,-0.010708661,-0.054330709,gray
171,-100,100,-200,8000,46.83673469,-62.32978723,-150.7040816,0.449210889,0.202222896,0.494822433,0.046338028,-0.152112676,10.54978873,0.0090625,-0.01028169,-0.116760563,gray
172,-100,200,-200,8000,47.1122449,-162.8265306,-156.7113402,0.432322322,0.359343919,0.335675231,0.048732394,-0.138661972,10.57760563,0.011111111,-0.009295775,-0.183380282,gray
173,-100,300,-200,8000,47.1122449,-263.3877551,-169.1632653,0.413584591,0.445266163,0.247041177,0.044084507,-0.153521127,10.56802817,0.012746479,-0.007816901,-0.252957746,gray
174,-200,100,-200,8000,153.1836735,-63.58064516,-155.9387755,0.480645899,0.210729196,0.427021553,0.039929577,-0.153028169,10.56802817,0.007394366,-0.010915493,-0.048521127,gray
175,-200,200,-200,8000,151.8061224,-168.6122449,-160.8979592,0.470907173,0.319526342,0.328402087,0.044857143,-0.157785714,10.56014286,0.008642857,-0.009642857,-0.117142857,gray
176,-200,300,-200,8000,151.255102,-263.3877551,-165.8571429,0.449087645,0.411489019,0.2442059,0.061126761,-0.16028169,10.56746479,0.010704225,-0.01,-0.188309859,gray
177,-300,100,-200,8000,264.2142857,-66.12244898,-154.5612245,0.472022163,0.201009503,0.373120867,0.047112676,-0.189859155,10.54626761,0.00528169,-0.010140845,0.018450704,gray
178,-300,200,-200,8000,261.4591837,-165.3061224,-163.6701031,0.476084774,0.301281801,0.311636822,0.015352113,-0.180704225,10.56450704,0.006267606,-0.009084507,-0.048732394,gray
179,-300,300,-200,8000,260.9081633,-268.0714286,-163.6530612,0.499630149,0.374506699,0.279092466,0.053450704,-0.158450704,10.56359155,0.008802817,-0.008028169,-0.115070423,gray
180,-100,100,-300,8000,44.35714286,-66.94897959,-255.122449,0.448002006,0.147373538,0.540619569,0.035352113,-0.143380282,10.55774648,0.011478873,-0.009014085,-0.181971831,gray
181,-100,200,-300,8000,47.3877551,-169.7142857,-258.1530612,0.37784699,0.218195076,0.47834203,-0.088169014,-0.171830986,10.57429577,0.014929577,-0.006690141,-0.253802817,gray
182,-100,300,-300,8000,45.98901099,-265.0408163,-263.3877551,0.392644223,0.35813804,0.299910514,-0.08584507,-0.187605634,10.57985915,0.017183099,-0.008591549,-0.320211268,gray
183,-200,100,-300,6979.27,150.7040816,-65.43529412,-263.1122449,0.460697667,0.17755186,0.469577178,-0.099921875,-0.151796875,10.56234375,0.008203125,-0.00890625,-0.115859375,gray
184,-200,200,-300,8000,152.3571429,-172.4693878,-264.2142857,0.464990014,0.234220697,0.442800688,-0.068943662,-0.122535211,10.575,0.010774648,-0.009084507,-0.185704225,gray
