,V1_in,V2_in,V3_in,t,V1,V2,V3,I1,I2,I3,ax,ay,az,gx,gy,gz
0,100,100,100,8000.0,49.40425531914894,39.92553191489362,48.6,0.3486190682692303,0.4105027663461537,0.3614395923076926,0.05834482758620689,-0.26986206896551723,10.539172413793102,0.0034482758620689655,-0.011241379310344827,0.07724137931034482
1,100,200,100,8000.0,65.20212765957447,130.9787234042553,64.91489361702128,0.13821461016042802,0.7385355350961545,0.1852431561224491,-0.03262068965517241,-0.2792413793103448,10.556827586206898,-0.0013793103448275863,-0.011724137931034485,0.146
2,100,300,100,8000.0,68.14285714285714,229.2127659574468,67.19318181818181,0.10188479470198673,0.8691615356756758,0.11165198037974682,-0.008888888888888894,-0.24166666666666664,10.560555555555558,-0.0011111111111111113,-0.016041666666666666,0.19499999999999998
3,200,100,100,8000.0,136.14893617021278,62.90425531914894,66.92553191489361,0.7395022328502419,0.2389153671875005,0.1275302621052633,0.051944444444444446,-0.2538194444444445,10.558194444444446,0.0023636363636363638,-0.011319444444444444,0.1297222222222222
4,200,200,100,8000.0,151.08510638297872,148.2127659574468,72.3103448275862,0.554610548076923,0.5737180769230769,0.07854246368421051,0.02186206896551724,-0.29400000000000004,10.561310344827588,-0.002,-0.014137931034482758,0.20758620689655174
5,200,300,100,8000.0,162.86170212765958,247.0212765957447,81.0,0.33468914615384643,0.7461787269230776,0.08104917183908046,0.01592592592592593,-0.3171851851851851,10.59148148148148,-0.0045925925925925926,-0.016222222222222225,0.27466666666666667
6,300,100,100,8000.0,239.2659574468085,69.22340425531915,77.84042553191489,0.903353076923078,0.11440834822335028,0.0777637180327869,0.021111111111111112,-0.2915972222222222,10.591111111111111,-0.0013194444444444445,-0.012291666666666666,0.1765972222222222
7,300,200,100,8000.0,247.88297872340425,158.8404255319149,78.41489361702128,0.7630672211538467,0.400764139423077,0.07513091720430107,-0.024027777777777773,-0.29125,10.57875,-0.002152777777777778,-0.014027777777777774,0.25777777777777783
8,300,300,100,8000.0,257.6489361702128,253.62765957446808,83.29787234042553,0.5499261836538459,0.5856756538461538,0.07984254504950496,0.04979310344827586,-0.30710344827586206,10.564551724137932,-0.00496551724137931,-0.018000000000000002,0.3400689655172414
9,100,100,200,8000.0,66.35106382978724,65.77659574468085,132.12765957446808,0.16444758413461563,0.15249000480769245,0.7845168850961546,0.09293706293706294,-0.28405594405594403,10.558391608391608,0.002608695652173913,-0.012307692307692306,0.1332867132867133
10,100,200,200,8000.0,77.26595744680851,144.7659574468085,145.3404255319149,0.08912650213903744,0.5605660004926105,0.5334904357142852,0.10855172413793103,-0.24227586206896554,10.560896551724138,-0.0015172413793103445,-0.013379310344827585,0.19806896551724137
11,100,300,200,8000.0,77.84042553191489,234.95744680851064,160.56382978723406,0.08854357980295566,0.8807940677884625,0.28661221009615445,0.14625000000000002,-0.18472222222222223,10.565208333333333,-0.0011805555555555556,-0.013125000000000001,0.25895833333333335
12,200,100,200,8000.0,151.9468085106383,67.7872340425532,148.7872340425532,0.5251479663461539,0.19199174433497568,0.5085059086538462,0.07180555555555555,-0.18618055555555554,10.550347222222221,0.001111111111111111,-0.013680555555555555,0.2015972222222222
13,200,200,200,8000.0,161.7127659574468,155.39361702127658,159.98936170212767,0.36711019711538484,0.46092195673076924,0.3982985870192308,0.171875,-0.1967361111111111,10.565972222222221,6.944444444444451e-05,-0.015138888888888887,0.26305555555555554
14,200,300,200,8000.0,166.88297872340425,252.4787234042553,167.74468085106383,0.2340974197115391,0.6699952596153851,0.2344672375000005,0.013379310344827583,-0.282551724137931,10.569172413793103,-0.0050344827586206896,-0.016137931034482758,0.3356551724137931
15,300,100,200,8000.0,244.72340425531914,68.93617021276596,161.13829787234042,0.7321253899038465,0.11240462810810814,0.31311609855769285,0.0513103448275862,-0.22772413793103446,10.579310344827586,0.00034482758620689663,-0.013586206896551725,0.23613793103448272
16,300,200,200,8000.0,251.90425531914894,170.04255319148936,171.7659574468085,0.6319035576923075,0.30152834855769284,0.22756388798076987,0.040965517241379305,-0.24420689655172412,10.584068965517242,-0.0027586206896551726,-0.014344827586206896,0.3162758620689655
17,300,300,200,8000.0,261.09574468085106,260.8085106382979,175.2127659574468,0.49371299999999996,0.5395710528846157,0.15244972673267346,-0.04213793103448276,-0.2533793103448276,10.566413793103447,-0.008413793103448277,-0.01503448275862069,0.3915172413793103
18,100,100,300,8000.0,70.37234042553192,74.1063829787234,226.62765957446808,0.09115237967032967,0.0869754636363636,0.9249260927884617,0.1,-0.30468965517241386,10.571103448275862,0.0023448275862068967,-0.014620689655172414,0.17648275862068966
19,100,200,300,8000.0,81.86170212765957,157.40425531914894,242.13829787234042,0.08050725860215056,0.38929957692307726,0.7506165865384615,0.11706293706293708,-0.2581118881118881,10.573146853146854,0.0013986013986013986,-0.015034965034965037,0.260979020979021
20,100,300,300,8000.0,79.85106382978724,253.91489361702128,255.35106382978722,0.08579343081081078,0.6009617259615386,0.5638561298076923,0.10958041958041959,-0.24601398601398602,10.573916083916084,-6.99300699300697e-05,-0.017552447552447552,0.3352447552447553
21,200,100,300,8000.0,165.7340425531915,71.80851063829788,238.69148936170214,0.2574106492682933,0.12198517425742585,0.8344428750000001,0.11805555555555555,-0.25020833333333337,10.580763888888889,0.002013888888888889,-0.014374999999999999,0.24520833333333336
22,200,200,300,8000.0,170.32978723404256,161.4255319148936,246.4468085106383,0.2011423834196894,0.3168965574358981,0.6655574379807694,0.10820689655172414,-0.22448275862068964,10.583310344827586,0.000413793103448276,-0.016482758620689653,0.31648275862068964
23,200,300,300,8000.0,176.93617021276594,257.6489361702128,259.0851063829787,0.14929051979695437,0.5411736249999999,0.4836045346153846,0.09889655172413793,-0.2250344827586207,10.581655172413795,-0.0028275862068965515,-0.01593103448275862,0.39482758620689656
24,300,100,300,8000.0,257.0744680851064,74.1063829787234,249.89361702127658,0.5130670725961541,0.10801642816091961,0.6487921442307694,0.11645833333333333,-0.2040277777777778,10.574930555555556,0.0020138888888888893,-0.01326388888888889,0.30069444444444443
25,300,200,300,8000.0,259.9468085106383,259.9468085106383,256.5,0.44045846682692336,0.23746922562814135,0.23746922562814135,0.041999999999999996,-0.2267586206896552,10.563379310344828,-0.003103448275862069,-0.0156551724137931,0.3733103448275862
26,300,300,300,8000.0,272.5851063829787,267.1276595744681,267.1276595744681,0.3427391035175881,0.3874933071428575,0.3847466723076926,0.13666666666666666,-0.23388888888888884,10.57611111111111,-0.0024305555555555556,-0.017708333333333333,0.45895833333333336
